,Log_98,datetime
125,14.947666666666665,2020-07-01 05:00:00
126,16.061333333333334,2020-07-01 06:00:00
127,18.869666666666667,2020-07-01 07:00:00
128,20.790000000000003,2020-07-01 08:00:00
129,21.66433333333333,2020-07-01 09:00:00
130,22.510499999999997,2020-07-01 10:00:00
131,24.497666666666664,2020-07-01 11:00:00
132,26.048666666666666,2020-07-01 12:00:00
133,27.239833333333333,2020-07-01 13:00:00
134,28.374,2020-07-01 14:00:00
135,28.242,2020-07-01 15:00:00
136,28.409666666666666,2020-07-01 16:00:00
137,28.886666666666667,2020-07-01 17:00:00
138,28.919833333333333,2020-07-01 18:00:00
139,27.599833333333333,2020-07-01 19:00:00
140,26.3265,2020-07-01 20:00:00
141,22.686666666666667,2020-07-01 21:00:00
142,20.488166666666668,2020-07-01 22:00:00
143,18.33066666666667,2020-07-01 23:00:00
144,13.429,2021-07-01 00:00:00
145,13.589999999999998,2021-07-01 01:00:00
146,13.525500000000001,2021-07-01 02:00:00
147,13.717999999999998,2021-07-01 03:00:00
148,13.589999999999998,2021-07-01 04:00:00
149,13.525666666666666,2021-07-01 05:00:00
150,13.637500000000001,2021-07-01 06:00:00
151,14.213666666666667,2021-07-01 07:00:00
152,14.804333333333332,2021-07-01 08:00:00
153,15.9185,2021-07-01 09:00:00
154,17.204666666666668,2021-07-01 10:00:00
155,18.0295,2021-07-01 11:00:00
156,18.996333333333332,2021-07-01 12:00:00
157,20.234166666666667,2021-07-01 13:00:00
158,20.67866666666667,2021-07-01 14:00:00
159,21.2665,2021-07-01 15:00:00
160,20.5675,2021-07-01 16:00:00
161,22.078833333333336,2021-07-01 17:00:00
162,21.83983333333333,2021-07-01 18:00:00
163,20.424166666666668,2021-07-01 19:00:00
164,19.852666666666668,2021-07-01 20:00:00
165,17.823,2021-07-01 21:00:00
166,16.2685,2021-07-01 22:00:00
167,15.409666666666666,2021-07-01 23:00:00
168,14.134,2022-07-01 00:00:00
169,14.213833333333334,2022-07-01 01:00:00
170,14.022,2022-07-01 02:00:00
171,13.701833333333333,2022-07-01 03:00:00
172,13.445166666666667,2022-07-01 04:00:00
173,13.509500000000001,2022-07-01 05:00:00
174,13.397,2022-07-01 06:00:00
175,13.268833333333333,2022-07-01 07:00:00
176,13.606,2022-07-01 08:00:00
177,13.83,2022-07-01 09:00:00
178,14.197833333333334,2022-07-01 10:00:00
179,14.437,2022-07-01 11:00:00
180,15.854999999999999,2022-07-01 12:00:00
181,16.3635,2022-07-01 13:00:00
182,18.37816666666667,2022-07-01 14:00:00
183,19.361166666666666,2022-07-01 15:00:00
184,19.266166666666667,2022-07-01 16:00:00
185,20.297166666666666,2022-07-01 17:00:00
186,19.948666666666664,2022-07-01 18:00:00
187,19.519833333333334,2022-07-01 19:00:00
188,18.948833333333333,2022-07-01 20:00:00
189,16.108666666666668,2022-07-01 21:00:00
190,13.733166666666667,2022-07-01 22:00:00
191,12.674333333333335,2022-07-01 23:00:00
192,15.807166666666667,2019-08-01 00:00:00
193,14.660666666666666,2019-08-01 01:00:00
194,14.979333333333335,2019-08-01 02:00:00
195,13.925666666666666,2019-08-01 03:00:00
196,13.397333333333334,2019-08-01 04:00:00
197,13.637833333333333,2019-08-01 05:00:00
198,13.397333333333334,2019-08-01 06:00:00
199,14.307833333333333,2019-08-01 07:00:00
200,17.474166666666665,2019-08-01 08:00:00
201,19.281833333333335,2019-08-01 09:00:00
202,20.694166666666664,2019-08-01 10:00:00
203,21.680166666666665,2019-08-01 11:00:00
204,22.90816666666667,2019-08-01 12:00:00
205,24.078333333333333,2019-08-01 13:00:00
206,24.9315,2019-08-01 14:00:00
207,25.578166666666664,2019-08-01 15:00:00
208,25.935166666666664,2019-08-01 16:00:00
209,25.578166666666664,2019-08-01 17:00:00
210,25.367833333333333,2019-08-01 18:00:00
211,23.86966666666667,2019-08-01 19:00:00
212,22.764666666666667,2019-08-01 20:00:00
213,21.66433333333333,2019-08-01 21:00:00
214,20.885666666666665,2019-08-01 22:00:00
215,16.919333333333334,2019-08-01 23:00:00
216,24.432333333333332,2020-08-01 00:00:00
217,22.748833333333334,2020-08-01 01:00:00
218,22.588666666666665,2020-08-01 02:00:00
219,20.96466666666667,2020-08-01 03:00:00
220,20.742333333333335,2020-08-01 04:00:00
221,20.1385,2020-08-01 05:00:00
222,19.266166666666667,2020-08-01 06:00:00
223,20.679333333333332,2020-08-01 07:00:00
224,23.150166666666667,2020-08-01 08:00:00
225,26.098166666666668,2020-08-01 09:00:00
226,27.518666666666665,2020-08-01 10:00:00
227,26.767,2020-08-01 11:00:00
228,23.517166666666668,2020-08-01 12:00:00
229,27.02316666666667,2020-08-01 13:00:00
230,30.323666666666668,2020-08-01 14:00:00
231,31.761833333333332,2020-08-01 15:00:00
232,32.56633333333333,2020-08-01 16:00:00
233,32.1055,2020-08-01 17:00:00
234,28.971,2020-08-01 18:00:00
235,27.419833333333333,2020-08-01 19:00:00
236,26.357333333333333,2020-08-01 20:00:00
