0,1,2
1,3,0.0028011122385096037
1,5,0.006725324881993263
1,8,0.08283945311915702
1,21,0.0027650624368552833
1,23,0.005623707530980372
1,29,0.0010941998782890035
1,30,0.009005202119717585
1,36,0.004049511162467944
1,37,0.002611693978525254
1,39,0.07853534910286479
1,41,0.007426157226927793
1,48,0.00470685902326966
1,54,0.3304862333122697
1,74,0.00292391322189261
1,87,0.002363944601038558
1,113,0.04269992679660708
1,115,0.013388679234876967
1,122,0.00292391322189261
1,124,0.0032601664079751425
1,141,0.2130674716221376
1,151,0.003229474085153521
2,9,0.0013277931375229048
2,11,0.014227202712905139
2,14,0.0027790189119323325
2,15,0.360662308318475
2,17,0.01735385784829553
2,20,0.0981411855258714
2,38,0.045653562930892504
2,40,0.004867738642978968
2,47,0.6706547113660444
2,50,0.014709398193811367
2,53,0.005333304795186809
2,58,0.006867453445047534
2,61,0.002069704463650934
2,70,0.001259632783121759
2,80,0.007477732526941424
2,83,0.001979474026388933
2,85,0.0036930353204789683
2,86,0.0427445544255506
2,102,0.21316949072439073
2,117,0.003928342153622352
2,118,0.00637455226002128
2,131,0.002486921689316358
2,142,0.004135673976922221
2,143,0.003156675009759977
2,153,0.06359419606948623
2,154,0.003642252338661467
2,155,0.013762742311015725
3,4,0.0012457588541550204
3,10,0.008238875634387919
3,22,0.044521088241461296
3,28,0.004139620243799748
3,35,0.0024938196516812315
3,39,0.0018896763405454355
3,41,0.014334755263911841
3,42,0.002326473685992886
3,54,0.0016424493393121821
3,59,0.002527600020493482
3,63,0.031192514713375582
3,69,0.03128854954400683
3,71,0.028449977481617632
3,98,0.006932167057805355
3,110,0.007897396856001892
3,113,0.05726044483040157
3,114,0.048062868599385605
3,115,0.08683283699854469
3,119,0.002201464372316181
3,132,0.0014533262077806365
3,141,0.011298277322022177
4,10,0.003153129261839557
4,19,0.020832468106011512
4,22,0.027438861664687057
4,32,0.0052565033042366064
4,33,0.001105443023270795
4,41,0.02225013626761018
4,42,0.3031976896508928
4,57,0.00367183340819965
4,60,0.03575704020783405
4,63,0.025140719411045752
4,65,0.013390676741646753
4,69,0.03624269128701758
4,77,0.00155372138302296
4,78,0.0012962836413970339
4,111,0.006826720741659112
4,112,0.003254570977724033
4,116,0.17440235468778054
4,124,0.009999745785769133
5,6,0.004506051991745236
5,8,0.006032975548668675
5,11,0.01724485712635965
