population,Log_Nr,avg_height,elevation,d10_avg,d_25_avg,d_50_avg,d100_avg,d200_avg,LC,LCZ,Albedo,NDVI,build_coun,dist_to_center,dist_to_forest
59.0,62,11.81,502,26.823,42.257,62.177,93.286512,149.690787,2.0,6.0,128.5,0.4951528012752533,74,2899.873155894032,93.23202260682503
43.0,63,19.271,528,43.11,67.386,98.29,154.268933,238.691994,2.0,9.0,121.0,0.48241370916366577,28,2128.923785084709,86.04753327840614
0.0,65,0.0,557,0.0,0.0,0.0,0.0,0.0,14.0,14.0,172.52941176470588,0.6231174468994141,0,4621.536481436485,314.25033505090676
30.0,68,6.709,541,64.451,95.296,126.556,168.497815,222.286695,7.0,2.0,117.0,0.04266319051384926,5,1187.8120756058142,1017.4966294461974
89.0,69,25.567,563,50.644,81.984,124.015,180.834507,243.809111,2.0,6.0,124.0,0.3141975402832031,20,2354.0852101769,201.896932557284
3.0,70,18.363,555,24.406,39.604,58.214,83.052633,116.587061,3.0,2.0,112.0,0.08279101550579071,53,469.27008815992093,926.8492778734171
6.0,71,21.537,550,31.794,54.055,80.49,118.929951,172.431503,5.0,2.0,112.0,0.22383880615234375,28,893.2825303668727,1022.0730316517901
198.0,73,16.263,565,28.801,46.012,68.469,101.498331,150.857734,2.0,6.0,124.0,0.28676655888557434,53,1138.4888203492856,934.2384604043157
3.0,74,19.432,551,22.45,35.815,51.404,73.171176,103.874111,6.0,2.0,112.0,0.058776479214429855,80,378.6864698060711,688.4907042338813
28.0,76,12.714,534,29.993,46.045,65.513,95.603769,143.144779,2.0,6.0,131.0,0.46113988757133484,57,1946.2380467534952,249.5699871115959
0.0,77,0.0,589,0.0,0.0,0.0,0.0,0.0,19.0,11.0,124.0,0.7081802487373352,0,2008.3497896638107,0.0
0.0,78,20.888,505,34.955,57.077,86.861,126.855926,178.350901,10.0,4.0,121.0,0.03651881217956543,22,524.740174223768,831.9472422691723
0.0,79,0.0,514,0.0,0.0,0.0,0.0,0.0,16.0,,,,0,7245.25043207036,1012.9626273880713
93.0,80,18.708,547,34.522,52.974,73.426,102.363758,145.24918,6.0,6.0,135.5,0.5194224715232849,42,2108.6520331654906,469.3432805850514
9.0,82,13.914,552,41.946,64.337,90.073,124.876143,175.582354,3.0,6.0,122.0,0.11828824877738953,25,1109.0200717374555,150.09832033447404
0.0,83,32.639,555,60.175,99.342,143.378,206.364471,297.672499,6.0,5.0,137.0,0.46247515082359314,13,1913.889031339294,700.0055686416
88.0,85,18.761,562,34.85,52.984,73.897,103.887959,146.287745,2.0,6.0,122.0,0.33499252796173096,38,1140.0908762271783,373.406186768521
65.0,86,13.969,554,30.119,45.76,64.75,94.719666,144.11672,2.0,6.0,132.0,0.5585870146751404,47,2919.9904177601497,366.98933029827225
0.0,87,13.373,498,86.662,106.216,134.352,171.033166,232.855469,24.0,4.0,128.0,0.042295750230550766,2,1912.4965679542145,32.386790252840704
0.0,98,0.0,552,0.0,0.0,0.0,0.0,0.0,14.0,14.0,158.4390243902439,0.5654261708259583,0,4834.095813404645,814.1460144160835
0.0,99,0.0,552,0.0,0.0,0.0,0.0,0.0,14.0,14.0,158.4390243902439,0.5654261708259583,0,4834.095813404645,814.1460144160835
0.0,101,0.0,581,0.0,0.0,0.0,0.0,0.0,19.0,11.0,129.0,0.7884659171104431,0,2194.2458928683823,0.0
25.0,102,17.448,564,32.286,50.988,74.684,112.210923,177.294555,2.0,5.0,118.0,0.2558790445327759,44,987.7599481008649,561.4904250468722
162.0,110,56.924,551,68.661,105.109,150.609,225.219967,315.930486,9.0,8.0,131.0,0.11079913377761841,10,2459.587523333174,191.51096932596428
147.0,111,32.817,561,63.183,99.705,141.933,195.955966,270.17098,6.0,8.0,144.0,0.1779085397720337,12,1592.7684776633541,1013.250089359957
0.0,112,24.421,551,60.134,89.713,121.891,163.796457,222.612588,1.0,8.0,122.0,0.13124129176139832,14,3607.0446403764113,284.3138773925693
0.0,113,22.363,552,67.312,105.279,142.566,195.740676,258.588989,5.0,8.0,119.5,0.08840450644493103,12,3277.896746434404,420.0294356120802
98.0,114,25.395,560,41.452,63.237,89.264,125.38799,174.384541,5.0,6.0,125.0,0.15397517383098602,26,4566.846964440327,606.448302096428
98.0,115,28.134,561,43.322,67.512,94.334,129.097067,177.059291,5.0,6.0,135.0,0.24125230312347412,25,4604.876572787884,618.2171790822267
0.0,116,33.14,546,67.749,110.13,157.602,227.40978,329.007008,6.0,8.0,140.0,0.29581525921821594,11,5418.586109416803,162.3885210408403
0.0,117,22.392,636,178.615,307.239,467.373,729.0417,1001.727381,6.0,12.0,148.58333333333334,0.4018348753452301,1,4353.09817746633,39.45205064279366
0.0,118,13.732,533,33.985,55.693,82.146,119.417661,170.229512,6.0,5.0,117.0,0.09625674784183502,34,547.0237357783319,572.5177194725858
0.0,119,14.936,549,43.804,80.646,128.235,203.162843,321.673295,7.0,8.0,131.0,0.2877641022205353,14,2403.24556744857,255.7282752748131
3.0,122,19.432,551,22.45,35.815,51.404,73.171176,103.874111,6.0,2.0,112.0,0.058776479214429855,80,378.6864698060711,688.4907042338813
16.0,124,17.922,552,20.128,32.232,46.528,66.951025,95.709206,5.0,2.0,112.0,0.04090533033013344,106,430.270637040082,779.1420465293662
24.0,125,17.793,555,20.456,33.131,49.583,72.982591,104.6276,5.0,2.0,112.0,0.09194707870483398,79,445.0025944909346,881.2397051701405
83.0,131,31.657,508,42.813,69.155,106.515,152.083329,213.599948,3.0,5.0,121.0,0.3126654028892517,21,925.2360955662128,881.170956190502
12.0,132,31.086,511,40.853,68.59,111.94,158.940693,217.520126,3.0,5.0,121.0,0.43450063467025757,22,960.5572720732575,879.6504082590916
83.0,133,29.599,508,41.259,68.981,111.721,158.530822,217.360954,3.0,5.0,121.0,0.5339366793632507,24,955.1021122998145,866.7858342121901
0.0,141,0.0,571,0.0,0.0,0.0,0.0,0.0,14.0,12.0,129.0,0.4881638288497925,0,1837.72564404753,75.29957007977006
0.0,142,12.049,565,106.759,149.458,192.581,241.429531,300.700059,10.0,12.0,129.0,0.5152126550674438,2,1741.0199849668265,266.6697845627786
63.0,143,13.897,566,31.452,60.953,110.629,175.322701,243.126232,14.0,11.0,129.0,0.5925081968307495,15,1946.7172555190637,249.09554750084746
223.0,151,19.608,557,35.505,60.876,88.018,122.470139,167.485047,6.0,5.0,131.0,0.2521922290325165,21,2553.3963102663824,267.49862493346836
79.0,152,17.673,555,37.485,58.942,83.445,116.233642,162.634661,5.0,6.0,131.0,0.3321465849876404,36,3142.65681031909,810.731719124994
63.0,153,24.047,552,40.7,65.872,93.841,132.582127,193.987891,6.0,5.0,132.0,0.1300666779279709,32,3546.644462649525,530.7744993379304
55.0,154,21.56,570,99.466,129.069,157.396,193.427352,243.310072,10.0,12.0,133.0,0.4291243255138397,4,3855.2427894172597,314.0559930778869
0.0,155,42.674,548,97.271,136.266,177.666,233.798162,303.54672,3.0,8.0,146.66666666666666,0.0810403823852539,5,2934.302099209466,564.5568026173071
